noise_type,denoise_type,cer,mm_cer
music,gt,0.0406,0.0348
rain,gt,0.0406,0.0348
hail,gt,0.0406,0.0348
ignition,gt,0.0406,0.0348
wiper,gt,0.0406,0.0348
horn,gt,0.0406,0.0348
people_talk,gt,0.0406,0.0348
carr_passby,gt,0.0406,0.0348
alarm,gt,0.0406,0.0348
door,gt,0.0406,0.0348
music,mix,0.1153,0.0542
rain,mix,0.1216,0.0619
hail,mix,0.1703,0.1003
ignition,mix,0.2173,0.1365
wiper,mix,0.1357,0.0850
horn,mix,0.1626,0.0906
people_talk,mix,0.1353,0.0778
carr_passby,mix,0.1325,0.0736
alarm,mix,0.1713,0.0858
door,mix,0.0719,0.0338